# 23 directories
# dir   1  /btl
# dir   2  /btl/char
# dir   3  /btl/common
# dir   4  /btl/cut_in
# dir   5  /btl/debug
# dir   6  /btl/eff
# dir   7  /btl/magic
# dir   8  /btl/map
# dir   9  /btl/prm
# dir  10  /fc
# dir  11  /item
# dir  12  /item/icon
# dir  13  /m
# dir  14  /m/misc
# dir  15  /m/misc/2D
# dir  16  /m/misc/etc
# dir  17  /menu
# dir  18  /menu/monsterbook
# dir  19  /menu/spirlink
# dir  20  /movie
# dir  21  /s
# dir  22  /s/lvd
# dir  23  /title
# fat_id	start	end	size	path
31	1732608	1739052	6444	/TODS3_BtlMemoData.dat
32	1739264	1741619	2355	/TODS3_CureStoneData.dat
33	1741824	1742792	968	/TODS3_LinkCounterData.dat
34	1742848	1780515	37667	/TODS3_OutLineData.dat
35	1780736	1781048	312	/TODS3_PlayerData.dat
36	1781248	1819332	38084	/TODS3_SormaBuildData.dat
37	1819648	1854811	35163	/TODS3_SormaSkillData.dat
38	1854976	1863652	8676	/TODS3_SpirLinkData.dat
39	1863680	1873516	9836	/TODS3_SpirLinkTreasureData.dat
40	1873920	1875336	1416	/TODS3_StrategyData.dat
41	1875456	1906850	31394	/TODS3_TitleData.dat
42	244858368	244919084	60716	/trialFont10.NFTR
43	244919296	244999820	80524	/trialFont12.NFTR
44	245000192	245000868	676	/trialFont8.NFTR
45	1907200	1950832	43632	/btl/char/char.b
46	1951232	17193604	15242372	/btl/char/char.dat
47	17193984	17233380	39396	/btl/common/common.cbb
48	17233408	17246214	12806	/btl/common/common.ds3
49	17246720	17251574	4854	/btl/common/face_LZ.bin
50	17251840	17252308	468	/btl/common/shadow.ds3
51	17252352	17252952	600	/btl/cut_in/cut_in.b
52	17253376	17310192	56816	/btl/cut_in/cut_in.dat
53	17310208	17317364	7156	/btl/debug/debug.b
54	17317376	17401848	84472	/btl/debug/debug.dat
55	17503232	17571356	68124	/btl/eff/sysresTextureTex.efg
56	17401856	17416804	14948	/btl/eff/Tex.b
57	17417216	17503064	85848	/btl/eff/Tex.dat
58	17571840	17574300	2460	/btl/magic/mag.b
59	17574400	19810888	2236488	/btl/magic/mag.dat
60	19811328	19814612	3284	/btl/map/map.b
61	19814912	24602424	4787512	/btl/map/map.dat
62	24602624	24604424	1800	/btl/prm/To9_BattleEventData.bin
63	24604672	24607408	2736	/btl/prm/To9_DialogueData.bin
64	24607744	24613672	5928	/btl/prm/To9_EncountAreaData.dat
65	24613888	24700800	86912	/btl/prm/To9_EncountGroupData.dat
66	24700928	24708536	7608	/btl/prm/To9_EncountTable.dat
67	24708608	24792368	83760	/btl/prm/To9_EnemyData.dat
68	24792576	24797408	4832	/fc/fc.b
69	24797696	26196128	1398432	/fc/fc.dat
70	26196480	26204832	8352	/fc/fcscr.b
71	26205184	26769600	564416	/fc/fcscr.dat
72	26769920	26772792	2872	/item/CTODS3_AccessoryShopData.bin
73	26772992	26775558	2566	/item/CTODS3_CureStoneShopData.bin
74	26776064	26778300	2236	/item/CTODS3_MaterialShopData.bin
75	26778624	26780491	1867	/item/CTODS3_ToolShopData.bin
76	26780672	26796025	15353	/item/TODS9_AccessoryData.dat
77	26796032	26800727	4695	/item/TODS9_GradeShopData.dat
78	26801152	26805439	4287	/item/TODS9_ItemData.dat
79	26805760	26816705	10945	/item/TODS9_MaterialData.dat
80	26817024	26852118	35094	/item/TODS9_SormaData.dat
81	26852352	26860082	7730	/item/TODS9_ValueData.dat
82	26860544	26866468	5924	/item/icon/ItemIcon.b
83	26866688	27267952	401264	/item/icon/ItemIcon.dat
84	27268096	27272679	4583	/m/hsr.bin
85	27272704	27339712	67008	/m/m.b
86	27339776	93258688	65918912	/m/m.dat
87	93943296	93961504	18208	/m/o.b
88	93961728	99956864	5995136	/m/o.dat
89	99957248	100005680	48432	/m/p.b
90	100005888	107619248	7613360	/m/p.dat
91	107619328	107622528	3200	/m/rmp.b
92	107622912	107646640	23728	/m/rmp.dat
93	93291008	93293660	2652	/m/misc/2D/compass.ds3
94	93294080	93294480	400	/m/misc/2D/dnab.ds3
95	93294592	93294992	400	/m/misc/2D/dnar.ds3
96	93295104	93328704	33600	/m/misc/2D/erimg.dat
97	93328896	93395104	66208	/m/misc/2D/fine_1.ds3
98	93395456	93420632	25176	/m/misc/2D/fine_2.dat
99	93421056	93434912	13856	/m/misc/2D/fldm00.dat
100	93435392	93449376	13984	/m/misc/2D/fldm01.dat
101	93258752	93288100	29348	/m/misc/2D/Menu_Event.dat
102	93288448	93290880	2432	/m/misc/2D/Menu_Slot.dat
103	93449728	93474992	25264	/m/misc/2D/sepia_beryl.ds3
104	93475328	93500592	25264	/m/misc/2D/sepia_chalcedony.ds3
105	93500928	93526192	25264	/m/misc/2D/sepia_hisui.ds3
106	93526528	93551792	25264	/m/misc/2D/sepia_innes.ds3
107	93552128	93577392	25264	/m/misc/2D/sepia_kohaku.ds3
108	93577728	93602992	25264	/m/misc/2D/sepia_kunzite.ds3
109	93603328	93628592	25264	/m/misc/2D/sepia_lichia.ds3
110	93628928	93654192	25264	/m/misc/2D/sepia_shing.ds3
111	93654528	93657184	2656	/m/misc/etc/acthelpwin.bin
112	93657600	93660020	2420	/m/misc/etc/charshadow.nsbmd
113	93660160	93695444	35284	/m/misc/etc/eb.ds3
114	93695488	93700368	4880	/m/misc/etc/lc.bin
115	93700608	93713312	12704	/m/misc/etc/mapsteff.bin
116	93713408	93714576	1168	/m/misc/etc/mesiconfc.bin
117	93714944	93718560	3616	/m/misc/etc/meswin.bin
118	93719040	93721212	2172	/m/misc/etc/sring.bin
119	93721600	93740160	18560	/m/misc/etc/sys_sav.bin
120	93740544	93928960	188416	/m/misc/etc/tn.dat
121	93928960	93931504	2544	/m/misc/etc/townNameJewel.ds3
122	93931520	93943040	11520	/m/misc/etc/weather.bin
123	107646976	107672876	25900	/menu/BERYL.dat
124	107673088	107682744	9656	/menu/CHARA_FACE.dat
125	107682816	107708716	25900	/menu/HISUI.dat
126	107708928	107734828	25900	/menu/INNES.dat
127	107735040	107760940	25900	/menu/KOHAKU.dat
128	107761152	107787052	25900	/menu/KOHAKU2.dat
129	107787264	107813164	25900	/menu/KUNZITE.dat
130	107813376	107824508	11132	/menu/Link_BERYL.dat
131	107824640	107835772	11132	/menu/Link_HISUI.dat
132	107835904	107847036	11132	/menu/Link_INNES.dat
133	107847168	107858300	11132	/menu/Link_KOHAKU.dat
134	107858432	107869564	11132	/menu/Link_KOHAKU2.dat
135	107869696	107880828	11132	/menu/Link_KUNZITE.dat
136	107880960	107892092	11132	/menu/Link_SHING.dat
137	107892224	107906372	14148	/menu/MENU_BG.b
138	107906560	108302056	395496	/menu/MENU_BG.dat
139	108302336	108316284	13948	/menu/NAVIMAP_BG.b
140	108316672	109249428	932756	/menu/NAVIMAP_BG.dat
141	109249536	109275436	25900	/menu/SHING.dat
142	109275648	109301548	25900	/menu/STAN.dat
143	109301760	109338928	37168	/menu/WORLDMAP_1.dat
144	109339136	109376304	37168	/menu/WORLDMAP_2.dat
145	109376512	109390140	13628	/menu/monsterbook/EnemyIcon.b
146	109390336	109892724	502388	/menu/monsterbook/EnemyIcon.dat
147	109893120	109893724	604	/menu/spirlink/SpirLinkIcon.b
148	109894144	109939740	45596	/menu/spirlink/SpirLinkIcon.dat
149	130931712	130931750	38	/movie/memo.txt
150	109940224	112666420	2726196	/movie/MOV000_A.mods
151	112666624	114398988	1732364	/movie/MOV000_B.mods
152	114399232	120612688	6213456	/movie/MOV001.mods
153	120612864	121781452	1168588	/movie/MOV002.mods
154	121781760	123156500	1374740	/movie/MOV003.mods
155	123156992	124554300	1397308	/movie/MOV004.mods
156	124554752	126062816	1508064	/movie/MOV005.mods
157	126063104	127913868	1850764	/movie/MOV006.mods
158	127913984	130931400	3017416	/movie/MOV007.mods
159	130932224	130951991	19767	/s/C0101
160	130952192	130977068	24876	/s/C0102
161	130977280	130994938	17658	/s/C0103
162	130995200	131034579	39379	/s/C0104
163	131034624	131062308	27684	/s/C0201
164	131062784	131119397	56613	/s/C0202
165	131119616	131141347	21731	/s/C0204
166	131141632	131164876	23244	/s/C0205
167	131165184	131181593	16409	/s/C0301
168	131182080	131202615	20535	/s/C0302
169	131203072	131224776	21704	/s/C0303
170	131225088	131262904	37816	/s/C0304
171	131262976	131275844	12868	/s/C0401
172	131276288	131281193	4905	/s/C0402
173	131281408	131310863	29455	/s/C0403
174	131311104	131332552	21448	/s/C0404
175	131332608	131349763	17155	/s/C0405
176	131350016	131377748	27732	/s/C0501
177	131378176	131392285	14109	/s/C0502
178	131392512	131424542	32030	/s/C0503
179	131424768	131449558	24790	/s/C0504
180	131449856	131479449	29593	/s/C0601
181	131479552	131504763	25211	/s/C0602
182	131505152	131523311	18159	/s/C0603
183	131523584	131535956	12372	/s/C0604
184	131536384	131552405	16021	/s/C0605
185	131552768	131583035	30267	/s/C0606
186	131583488	131597026	13538	/s/C0701
187	131597312	131640565	43253	/s/C0702
188	131640832	131660012	19180	/s/C0704
189	131660288	131683556	23268	/s/C0705
190	131683840	131690345	6505	/s/C0801
191	131690496	131695102	4606	/s/C0802
192	131695104	131703028	7924	/s/C0803
193	131703296	131741321	38025	/s/C0804
194	131741696	131747538	5842	/s/C0806
195	131747840	131777666	29826	/s/C0901
196	131778048	131810806	32758	/s/C0902
197	131810816	131858439	47623	/s/C0903
198	131858944	131886523	27579	/s/C0904
199	131886592	131922384	35792	/s/C0905
200	131922432	131949295	26863	/s/C0906
201	131949568	131964536	14968	/s/C0907
202	131964928	131989935	25007	/s/C0908
203	131990016	132003968	13952	/s/C1001
204	132004352	132041103	36751	/s/C1002
205	132041216	132062310	21094	/s/C1003
206	132062720	132081935	19215	/s/C1004
207	132082176	132107987	25811	/s/C1005
208	132108288	132129102	20814	/s/C1101
209	132129280	132130575	1295	/s/C1102
210	132130816	132154607	23791	/s/C1103
211	132154880	132189722	34842	/s/C1104
212	132190208	132219362	29154	/s/C1105
213	132219392	132229553	10161	/s/C1106
214	132229632	132272353	42721	/s/C1107
215	132272640	132289545	16905	/s/C1201
216	132290048	132302348	12300	/s/C1202
217	132302848	132314313	11465	/s/C1203
218	132314624	132331661	17037	/s/C1204
219	132332032	132360956	28924	/s/C1205
220	132361216	132370472	9256	/s/C1206
221	132370944	132403963	33019	/s/C1207
222	132404224	132433868	29644	/s/C1208
223	132433920	132465908	31988	/s/C1209
224	132466176	132485929	19753	/s/C1301
225	132486144	132487863	1719	/s/C1302
226	132488192	132532754	44562	/s/C1303
227	132533248	132563825	30577	/s/C1304
228	132563968	132580013	16045	/s/C1305
229	132580352	132612734	32382	/s/C1306
230	132613120	132655536	42416	/s/C1401
231	132655616	132683380	27764	/s/C1402
232	132683776	132701100	17324	/s/C1403
233	132701184	132736814	35630	/s/C1403b
234	132737024	132742320	5296	/s/C1404
235	132742656	132761115	18459	/s/C1405
236	132761600	132767461	5861	/s/C1406
237	132767744	132790160	22416	/s/C1407
238	132790272	132798194	7922	/s/C1408
239	132798464	132811012	12548	/s/C1501
240	132811264	132831137	19873	/s/C1502
241	132831232	132856297	25065	/s/C1503
242	132856320	132886279	29959	/s/C1504
243	132886528	132926069	39541	/s/C1505
244	132926464	132938914	12450	/s/C1506
245	132939264	132970516	31252	/s/C1507
246	132971008	132989110	18102	/s/C1601
247	132989440	133016063	26623	/s/C1602
248	133016064	133034577	18513	/s/C1603
249	133035008	133060771	25763	/s/C1604
250	133061120	133066928	5808	/s/C1605
251	133067264	133101349	34085	/s/C1701
252	133101568	133128737	27169	/s/C1702
253	133129216	133152895	23679	/s/C1703
254	133153280	133162247	8967	/s/C1704
255	133162496	133188972	26476	/s/C1705
256	133189120	133194585	5465	/s/C1706
257	133194752	133217745	22993	/s/C1707
258	133217792	133226402	8610	/s/C1708
259	133226496	133249828	23332	/s/C1709
260	133250048	133264886	14838	/s/C1801
261	133264896	133271908	7012	/s/C1802
262	133272064	133304236	32172	/s/C1803
263	133304320	133309391	5071	/s/C1804
264	133309440	133331321	21881	/s/C1901
265	133331456	133355643	24187	/s/C1902
266	133356032	133390746	34714	/s/C1903
267	133390848	133426863	36015	/s/C1904
268	133427200	133438888	11688	/s/C1905
269	133438976	133461906	22930	/s/C1906
270	133462016	133511825	49809	/s/C2001
271	133512192	133516747	4555	/s/C2002
272	133516800	133544518	27718	/s/C2003
273	133544960	133567126	22166	/s/C2004
274	133567488	133586451	18963	/s/C2005
275	133586944	133635094	48150	/s/C2006
276	133635584	133649203	13619	/s/C2101
277	133649408	133687789	38381	/s/C2102
278	133687808	133715440	27632	/s/C2103
279	133715456	133767597	52141	/s/C2104
280	133767680	133813433	45753	/s/C2105
281	133813760	133850303	36543	/s/C2106
282	133850624	133877801	27177	/s/C2107
283	133878272	133905139	26867	/s/C2201
284	133905408	133926976	21568	/s/C2202
285	133927424	133956813	29389	/s/C2203
286	133957120	133976285	19165	/s/C2204
287	133976576	133994138	17562	/s/C2205
288	133994496	134015936	21440	/s/C2206
289	134016000	134039776	23776	/s/C2207
290	134040064	134078760	38696	/s/C2301
291	134078976	134104385	25409	/s/C2303
292	134104576	134107321	2745	/s/C2304
293	134107648	134132210	24562	/s/C2305
294	134132224	134164797	32573	/s/C2306
295	134164992	134180593	15601	/s/C2307
296	134180864	134206528	25664	/s/C2401
297	134206976	134232030	25054	/s/C2402
298	134232064	134257964	25900	/s/C2403
299	134258176	134281156	22980	/s/C2404
300	134281216	134292239	11023	/s/C2405
301	134292480	134326117	33637	/s/C2405b
302	134326272	134353019	26747	/s/C2406
303	134353408	134366706	13298	/s/C2407
304	134366720	134389725	23005	/s/C2501
305	134389760	134424222	34462	/s/C2502
306	134424576	134439738	15162	/s/C2503
307	134439936	134466855	26919	/s/C2504
308	134467072	134493136	26064	/s/C2505
309	134493184	134521067	27883	/s/C2601
310	134521344	134552185	30841	/s/C2602
311	134552576	134580481	27905	/s/C2603
312	134580736	134621255	40519	/s/C2604
313	134621696	134643049	21353	/s/C2605
314	134643200	134681912	38712	/s/C2701
315	134682112	134723315	41203	/s/C2702
316	134723584	134761583	37999	/s/C2703
317	134761984	134795202	33218	/s/C2704
318	134795264	134817807	22543	/s/C2705
319	134818304	134847645	29341	/s/C2801
320	134848000	134874745	26745	/s/C2802
321	134875136	134906818	31682	/s/C2803
322	134906880	134923553	16673	/s/C2804
323	134923776	134953165	29389	/s/C2805
324	134953472	135002169	48697	/s/C2806
325	135002624	135010116	7492	/s/C2807
326	135010304	135030945	20641	/s/C2901
327	135031296	135038279	6983	/s/C2902
328	135038464	135149001	110537	/s/C2903
329	135149056	135173806	24750	/s/C3001
330	135174144	135181589	7445	/s/C3002
331	135181824	135204937	23113	/s/C3003
332	135205376	135236284	30908	/s/C3004
333	135236608	135257468	20860	/s/C3005
334	135257600	135281786	24186	/s/C3006
335	135282176	135303686	21510	/s/C3101
336	135304192	135330626	26434	/s/C3102
337	135330816	135367632	36816	/s/C3103
338	135367680	135402696	35016	/s/C3104
339	135403008	135426980	23972	/s/C3105
340	135427072	135456403	29331	/s/C3106
341	135456768	135489013	32245	/s/C3107
342	135489024	135514775	25751	/s/C3108
343	135515136	135543089	27953	/s/C3201
344	135543296	135564705	21409	/s/C3202
345	135564800	135575175	10375	/s/C3203
346	135575552	135581929	6377	/s/C3204
347	135582208	135606282	24074	/s/C3205
348	135606784	135626581	19797	/s/C3301
349	135626752	135652676	25924	/s/C3302
350	135652864	135666174	13310	/s/C3303
351	135666176	135684098	17922	/s/C3304
352	135684608	135714054	29446	/s/C3305
353	135714304	135729496	15192	/s/C3401
354	135729664	135741606	11942	/s/C3402
355	135741952	135753179	11227	/s/C3403
356	135753216	135774345	21129	/s/C3404
357	135774720	135799819	25099	/s/C3405
358	135800320	135824648	24328	/s/C3406
359	135824896	135841962	17066	/s/C3407
360	135842304	135867823	25519	/s/C3408
361	135867904	135889537	21633	/s/C3501
362	135889920	135904526	14606	/s/C3502
363	135904768	135968070	63302	/s/C3503
364	135968256	135977744	9488	/s/C3505
365	135977984	136005563	27579	/s/C3506
366	136005632	136033348	27716	/s/C3507
367	136033792	136080318	46526	/s/C3601
